"場次","日期","類型","客隊","主隊","客隊得分","主隊得分","場地","開始售票時間","開始比賽時間","比賽歷經時間","比賽狀態","備註","calendarEventId"
"168","06/17","例行賽","統一獅","富邦悍將","","","新北市立新莊棒球場, 242台灣新北市新莊區和興街66號","","18:35","2h","","",""
"169","06/19","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"170","06/19","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"171","06/19","例行賽","中信兄弟","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"172","06/20","例行賽","富邦悍將","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"173","06/20","例行賽","統一獅","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"174","06/20","例行賽","中信兄弟","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
"175","06/21","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","17:05","2h","","",""
"176","06/21","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","17:05","2h","","",""
"177","06/21","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","17:05","2h","","",""
"178","06/22","例行賽","富邦悍將","中信兄弟","","","臺中洲際棒球場, 40671台灣台中市北屯區崇德路三段835號","","14:05","2h","","",""
"179","06/22","例行賽","台鋼雄鷹","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","14:05","2h","","",""
"180","06/22","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","14:05","2h","","",""
"181","07/04","例行賽","富邦悍將","樂天桃猿","","","樂天桃園棒球場, 320台灣桃園市中壢區領航北路一段1號","","18:35","2h","","",""
"182","07/04","例行賽","中信兄弟","台鋼雄鷹","","","高雄市立澄清湖棒球場, 833台灣高雄市鳥松區大埤路113號","","18:35","2h","","",""
"183","07/04","例行賽","統一獅","味全龍","","","台北市立天母棒球場, 111台灣台北市士林區忠誠路二段77號","","18:35","2h","","",""
